game_id,match_id,recorded_at,champion,player,rank,kills,deaths,assists,cs,vision,gold,patch,game_date,video_mb,video_filename,youtube_url
568742705,JP1_568742705,,Jayce,我要验牌#十JQKA,Challenger,7,3,3,21,20,9259,16.5,2026-03-04 18:55 JST,,,
568754971,JP1_568754971,2026-03-05 03:12,Khazix,Fa J#6115,Challenger,8,6,11,42,56,15168,16.5,2026-03-04 20:17 JST,1258,[JP Challenger JG] Khazix 8-6-11 - Fa J#6115.mp4,
568762748,JP1_568762748,2026-03-04 22:50,Karthus,senzawa#JP1,Challenger,17,8,7,41,28,19680,16.5,2026-03-04 20:56 JST,1449,[JP Challenger JG] Karthus 17-8-7 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=nQ2-IEguKlE
568770505,JP1_568770505,2026-03-04 22:16,Fizz,定风波#520,Challenger,11,1,3,21,17,10607,16.5,2026-03-04 21:28 JST,795,[JP Challenger JG] Fizz 11-1-3 - 定风波#520.mp4,
568792499,JP1_568792499,2026-03-05 03:33,Jayce,我要验牌#十JQKA,Challenger,9,3,4,14,21,9857,16.5,2026-03-04 22:41 JST,895,[JP Challenger JG] Jayce 9-3-4 - 我要验牌#十JQKA.mp4,https://www.youtube.com/watch?v=gKbfbhRHQdg
568836114,JP1_568836114,2026-03-06 00:56,Viego,豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊,Challenger,13,6,6,23,17,13868,16.5,2026-03-05 01:47 JST,1069,[JP Challenger JG] Viego 13-6-6 - 豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊.mp4,
568841002,JP1_568841002,2026-03-06 00:31,Zyra,くるみかん#123,Challenger,4,2,8,28,40,13829,16.5,2026-03-05 02:24 JST,1336,[JP Challenger JG] Zyra 4-2-8 - くるみかん#123.mp4,
568847035,JP1_568847035,2026-03-06 00:00,Rengar,我要验牌#十JQKA,Challenger,8,11,10,91,41,16586,16.5,2026-03-05 03:26 JST,1632,[JP Challenger JG] Rengar 8-11-10 - 我要验牌#十JQKA.mp4,
568902645,JP1_568902645,2026-03-05 23:22,RekSai,白鶴仙童#MYZZ,Challenger,7,0,7,12,23,8073,16.5,2026-03-05 16:35 JST,696,[JP Challenger JG] RekSai 7-0-7 - 白鶴仙童#MYZZ.mp4,
568902982,JP1_568902982,2026-03-05 23:06,Viego,ねすてぃー#7474,Challenger,6,4,10,18,40,14474,16.5,2026-03-05 16:43 JST,1236,[JP Challenger JG] Viego 6-4-10 - ねすてぃー#7474.mp4,https://www.youtube.com/watch?v=3VdJVkQJTd0
568921379,JP1_568921379,2026-03-05 22:37,Evelynn,senzawa#JP1,Challenger,6,0,7,15,17,9664,16.5,2026-03-05 18:39 JST,848,[JP Challenger JG] Evelynn 6-0-7 - senzawa#JP1.mp4,https://www.youtube.com/watch?v=8aYqmVH50SE
568924683,JP1_568924683,2026-03-05 22:17,Zaahen,Dopaminw#OUI,Challenger,10,5,13,47,43,14654,16.5,2026-03-05 19:06 JST,1358,[JP Challenger JG] Zaahen 10-5-13 - Dopaminw#OUI.mp4,https://www.youtube.com/watch?v=I4EWuwLMYEI
569069270,JP1_569069270,2026-03-07 01:26,Fizz,定风波#520,Challenger,14,5,8,45,42,17226,16.5,2026-03-06 14:08 JST,1396,[JP Challenger JG] Fizz 14-5-8 - 定风波#520.mp4,https://www.youtube.com/watch?v=_vjLv1-29M4
